Date,Price
11/30/18,58.71
11/29/18,59.51
11/28/18,58.76
11/27/18,60.21
11/26/18,60.48
11/23/18,58.8
11/22/18,62.6
11/21/18,63.48
11/20/18,62.53
11/19/18,66.79
11/16/18,66.76
11/15/18,66.62
11/14/18,66.12
11/13/18,65.47
11/12/18,70.12
11/9/18,70.18
11/8/18,70.65
11/7/18,72.07
11/6/18,72.13
11/5/18,73.17
11/2/18,72.83
11/1/18,72.89
10/31/18,75.47
10/30/18,75.91
10/29/18,77.34
10/26/18,77.62
10/25/18,76.89
10/24/18,76.17
10/23/18,76.44
10/22/18,79.83
10/19/18,79.78
10/18/18,79.29
10/17/18,80.05
10/16/18,81.41
10/15/18,80.78
10/12/18,80.43
10/11/18,80.26
10/10/18,83.09
10/9/18,85
10/8/18,83.91
10/5/18,84.16
10/4/18,84.58
10/3/18,86.29
10/2/18,84.8
10/1/18,84.98
9/28/18,82.72
9/27/18,81.72
9/26/18,81.34
9/25/18,81.87
9/24/18,81.2
9/21/18,78.8
9/20/18,78.7
9/19/18,79.4
9/18/18,79.03
9/17/18,78.05
9/14/18,78.09
9/13/18,78.18
9/12/18,79.74
9/11/18,79.06
9/10/18,77.37
9/7/18,76.83
9/6/18,76.5
9/5/18,77.27
9/4/18,78.17
9/3/18,78.15
8/31/18,77.42
8/30/18,77.77
8/29/18,77.14
8/28/18,75.95
8/27/18,76.21
8/24/18,75.82
8/23/18,74.73
8/22/18,74.78
8/21/18,72.63
8/20/18,72.21
8/17/18,71.83
8/16/18,71.43
8/15/18,70.76
8/14/18,72.46
8/13/18,72.61
8/10/18,72.81
8/9/18,72.07
8/8/18,72.28
8/7/18,74.65
8/6/18,73.75
8/3/18,73.21
8/2/18,73.45
8/1/18,72.39
7/31/18,74.25
7/30/18,74.97
7/27/18,74.29
7/26/18,74.54
7/25/18,73.93
7/24/18,73.44
7/23/18,73.06
7/20/18,73.07
7/19/18,72.58
7/18/18,72.9
7/17/18,72.16
7/16/18,71.84
7/13/18,75.33
7/12/18,74.45
7/11/18,73.4
7/10/18,78.86
7/9/18,78.07
7/6/18,77.11
7/5/18,77.39
7/4/18,78.24
7/3/18,77.76
7/2/18,77.3
6/29/18,79.44
6/28/18,77.85
6/27/18,77.62
6/26/18,76.31
6/25/18,74.73
6/22/18,75.55
6/21/18,73.05
6/20/18,74.74
6/19/18,75.08
6/18/18,75.34
6/15/18,73.44
6/14/18,75.94
6/13/18,76.74
6/12/18,75.88
6/11/18,76.46
6/8/18,76.46
6/7/18,77.32
6/6/18,75.36
6/5/18,75.38
6/4/18,75.29
6/1/18,76.79
5/31/18,77.59
5/30/18,77.5
5/29/18,75.39
5/28/18,75.3
5/25/18,76.44
5/24/18,78.79
5/23/18,79.8
5/22/18,79.57
5/21/18,79.22
5/18/18,78.51
5/17/18,79.3
5/16/18,79.28
5/15/18,78.43
5/14/18,78.23
5/11/18,77.12
5/10/18,77.47
5/9/18,77.21
5/8/18,74.85
5/7/18,76.17
5/4/18,74.87
5/3/18,73.62
5/2/18,73.36
5/1/18,73.13
4/30/18,75.17
4/27/18,74.64
4/26/18,74.74
4/25/18,74
4/24/18,73.86
4/23/18,74.71
4/20/18,74.06
4/19/18,73.78
4/18/18,73.48
4/17/18,71.58
4/16/18,71.42
4/13/18,72.58
4/12/18,72.02
4/11/18,72.06
4/10/18,71.04
4/9/18,68.65
4/6/18,67.11
4/5/18,68.33
4/4/18,68.02
4/3/18,68.12
4/2/18,67.64
3/29/18,70.27
3/28/18,69.53
3/27/18,70.11
3/26/18,70.12
3/23/18,70.45
3/22/18,68.91
3/21/18,69.47
3/20/18,67.42
3/19/18,66.05
3/16/18,66.21
3/15/18,65.12
3/14/18,64.89
3/13/18,64.64
3/12/18,64.95
3/9/18,65.49
3/8/18,63.61
3/7/18,64.34
3/6/18,65.79
3/5/18,65.54
3/2/18,64.37
3/1/18,63.83
2/28/18,65.78
2/27/18,66.63
2/26/18,67.5
2/23/18,67.31
2/22/18,66.39
2/21/18,65.42
2/20/18,65.25
2/19/18,65.67
2/16/18,64.84
2/15/18,64.33
2/14/18,64.36
2/13/18,62.72
2/12/18,62.59
2/9/18,62.79
2/8/18,64.81
2/7/18,65.51
2/6/18,66.86
2/5/18,67.62
2/2/18,68.58
2/1/18,69.65
1/31/18,69.05
1/30/18,69.02
1/29/18,69.46
1/26/18,70.52
1/25/18,70.42
1/24/18,70.53
1/23/18,69.96
1/22/18,69.03
1/19/18,68.61
1/18/18,69.31
1/17/18,69.38
1/16/18,69.15
1/15/18,70.26
1/12/18,69.87
1/11/18,69.26
1/10/18,69.2
1/9/18,68.82
1/8/18,67.78
1/5/18,67.62
1/4/18,68.07
1/3/18,67.84
1/2/18,66.57
12/29/17,66.87
12/28/17,66.72
12/27/17,66.44
12/26/17,67.02
12/22/17,65.25
12/21/17,64.9
12/20/17,64.56
12/19/17,63.8
12/18/17,63.41
12/15/17,63.23
12/14/17,63.31
12/13/17,62.44
12/12/17,63.34
12/11/17,64.69
12/8/17,63.4
12/7/17,62.2
12/6/17,61.22
12/5/17,62.86
12/4/17,62.45
12/1/17,63.73
11/30/17,63.57
11/29/17,63.11
11/28/17,63.61
11/27/17,63.84
11/24/17,63.86
11/23/17,63.55
11/22/17,63.32
11/21/17,62.57
11/20/17,62.22
11/17/17,62.72
11/16/17,61.36
11/15/17,61.87
11/14/17,62.21
11/13/17,63.16
11/10/17,63.52
11/9/17,63.93
11/8/17,63.49
11/7/17,63.69
11/6/17,64.27
11/3/17,62.07
11/2/17,60.62
11/1/17,60.49
10/31/17,61.37
10/30/17,60.9
10/27/17,60.44
10/26/17,59.3
10/25/17,58.44
10/24/17,58.33
10/23/17,57.37
10/20/17,57.75
10/19/17,57.23
10/18/17,58.15
10/17/17,57.88
10/16/17,57.82
10/13/17,57.17
10/12/17,56.25
10/11/17,56.94
10/10/17,56.61
10/9/17,55.79
10/6/17,55.62
10/5/17,57
10/4/17,55.8
10/3/17,56
10/2/17,56.12
9/29/17,57.54
9/28/17,57.41
9/27/17,57.9
9/26/17,58.44
9/25/17,59.02
9/22/17,56.86
9/21/17,56.43
9/20/17,56.29
9/19/17,55.14
9/18/17,55.48
9/15/17,55.62
9/14/17,55.47
9/13/17,55.16
9/12/17,54.27
9/11/17,53.84
9/8/17,53.78
9/7/17,54.49
9/6/17,54.2
9/5/17,53.38
9/4/17,52.34
9/1/17,52.75
8/31/17,52.38
8/30/17,50.86
8/29/17,52
8/28/17,51.89
8/25/17,52.41
8/24/17,52.04
8/23/17,52.57
8/22/17,51.87
8/21/17,51.66
8/18/17,52.72
8/17/17,51.03
8/16/17,50.27
8/15/17,50.8
8/14/17,50.73
8/11/17,52.1
8/10/17,51.9
8/9/17,52.7
8/8/17,52.14
8/7/17,52.37
8/4/17,52.42
8/3/17,52.01
8/2/17,52.36
8/1/17,51.78
7/31/17,52.65
7/28/17,52.52
7/27/17,51.49
7/26/17,50.97
7/25/17,50.2
7/24/17,48.6
7/21/17,48.06
7/20/17,49.3
7/19/17,49.7
7/18/17,48.84
7/17/17,48.42
7/14/17,48.91
7/13/17,48.42
7/12/17,47.74
7/11/17,47.52
7/10/17,46.88
7/7/17,46.71
7/6/17,48.11
7/5/17,47.79
7/4/17,49.61
7/3/17,49.68
6/30/17,47.92
6/29/17,47.42
6/28/17,47.31
6/27/17,46.65
6/26/17,45.83
6/23/17,45.54
6/22/17,45.22
6/21/17,44.82
6/20/17,46.02
6/19/17,46.91
6/16/17,47.37
6/15/17,46.92
6/14/17,47
6/13/17,48.72
6/12/17,48.29
6/9/17,48.15
6/8/17,47.86
6/7/17,48.06
6/6/17,50.12
6/5/17,49.47
6/2/17,49.95
6/1/17,50.63
5/31/17,50.31
5/30/17,51.84
5/29/17,52.29
5/26/17,52.15
5/25/17,51.46
5/24/17,53.96
5/23/17,54.15
5/22/17,53.87
5/19/17,53.61
5/18/17,52.51
5/17/17,52.21
5/16/17,51.65
5/15/17,51.82
5/12/17,50.84
5/11/17,50.77
5/10/17,50.22
5/9/17,48.73
5/8/17,49.34
5/5/17,49.1
5/4/17,48.38
5/3/17,50.79
5/2/17,50.46
5/1/17,51.52
4/28/17,51.73
4/27/17,51.44
4/26/17,51.82
4/25/17,52.1
4/24/17,51.6
4/21/17,51.96
4/20/17,52.99
4/19/17,52.93
4/18/17,54.89
4/17/17,55.36
4/13/17,55.89
4/12/17,55.86
4/11/17,56.23
4/10/17,55.98
4/7/17,55.24
4/6/17,54.89
4/5/17,54.36
4/4/17,54.17
4/3/17,53.12
3/31/17,52.83
3/30/17,52.96
3/29/17,52.42
3/28/17,51.33
3/27/17,50.75
3/24/17,50.8
3/23/17,50.56
3/22/17,50.64
3/21/17,50.96
3/20/17,51.62
3/17/17,51.76
3/16/17,51.74
3/15/17,51.81
3/14/17,50.92
3/13/17,51.35
3/10/17,51.37
3/9/17,52.19
3/8/17,53.11
3/7/17,55.92
3/6/17,56.01
3/3/17,55.9
3/2/17,55.08
3/1/17,56.36
2/28/17,55.59
2/27/17,55.93
2/24/17,55.99
2/23/17,56.58
2/22/17,55.84
2/21/17,56.66
2/20/17,56.18
2/17/17,55.81
2/16/17,55.65
2/15/17,55.75
2/14/17,55.97
2/13/17,55.59
2/10/17,56.7
2/9/17,55.63
2/8/17,55.12
2/7/17,55.05
2/6/17,55.72
2/3/17,56.81
2/2/17,56.56
2/1/17,56.8
1/31/17,55.7
1/30/17,55.23
1/27/17,55.52
1/26/17,56.24
1/25/17,55.08
1/24/17,55.44
1/23/17,55.23
1/20/17,55.49
1/19/17,54.16
1/18/17,53.92
1/17/17,55.47
1/16/17,55.86
1/13/17,55.45
1/12/17,56.01
1/11/17,55.1
1/10/17,53.64
1/9/17,54.94
1/6/17,57.1
1/5/17,56.89
1/4/17,56.46
1/3/17,55.47
12/30/16,56.82
12/29/16,56.14
12/28/16,56.22
12/27/16,56.09
12/23/16,55.16
12/22/16,55.05
12/21/16,54.46
12/20/16,55.35
12/19/16,54.92
12/16/16,55.21
12/15/16,54.02
12/14/16,53.9
12/13/16,55.72
12/12/16,55.69
12/9/16,54.33
12/8/16,53.89
12/7/16,53
12/6/16,53.93
12/5/16,54.94
12/2/16,54.46
12/1/16,53.94
11/30/16,50.47
11/29/16,46.38
11/28/16,48.24
11/25/16,47.24
11/24/16,49
11/23/16,48.95
11/22/16,49.12
11/21/16,48.9
11/18/16,46.86
11/17/16,46.49
11/16/16,46.63
11/15/16,46.95
11/14/16,44.43
11/11/16,44.75
11/10/16,45.84
11/9/16,46.36
11/8/16,46.04
11/7/16,46.15
11/4/16,45.58
11/3/16,46.35
11/2/16,46.86
11/1/16,48.14
10/31/16,48.3
10/28/16,49.71
10/27/16,50.47
10/26/16,49.98
10/25/16,50.79
10/24/16,51.46
10/21/16,51.78
10/20/16,51.38
10/19/16,52.67
10/18/16,51.68
10/17/16,51.52
10/14/16,51.95
10/13/16,52.03
10/12/16,51.81
10/11/16,52.41
10/10/16,53.14
10/7/16,51.93
10/6/16,52.51
10/5/16,51.86
10/4/16,50.87
10/3/16,50.89
9/30/16,49.06
9/29/16,49.24
9/28/16,48.69
9/27/16,45.97
9/26/16,47.35
9/23/16,45.89
9/22/16,47.65
9/21/16,46.83
9/20/16,45.88
9/19/16,45.95
9/16/16,45.77
9/15/16,46.59
9/14/16,45.85
9/13/16,47.1
9/12/16,48.32
9/9/16,48.01
9/8/16,49.99
9/7/16,47.98
9/6/16,47.26
9/5/16,47.63
9/2/16,46.83
9/1/16,45.45
8/31/16,47.04
8/30/16,48.37
8/29/16,49.26
8/26/16,49.92
8/25/16,49.67
8/24/16,49.05
8/23/16,49.96
8/22/16,49.16
8/19/16,50.88
8/18/16,50.89
8/17/16,49.85
8/16/16,49.23
8/15/16,48.35
8/12/16,46.97
8/11/16,46.04
8/10/16,44.05
8/9/16,44.98
8/8/16,45.39
8/5/16,44.27
8/4/16,44.29
8/3/16,43.1
8/2/16,41.8
8/1/16,42.14
7/29/16,42.46
7/28/16,42.7
7/27/16,43.47
7/26/16,44.87
7/25/16,44.72
7/22/16,45.69
7/21/16,46.2
7/20/16,47.17
7/19/16,46.66
7/18/16,46.96
7/15/16,47.61
7/14/16,47.37
7/13/16,46.26
7/12/16,48.47
7/11/16,46.25
7/8/16,46.76
7/7/16,46.4
7/6/16,48.8
7/5/16,47.96
7/4/16,50.1
7/1/16,50.35
6/30/16,49.68
6/29/16,50.61
6/28/16,48.58
6/27/16,47.16
6/24/16,48.41
6/23/16,50.91
6/22/16,49.88
6/21/16,50.62
6/20/16,50.65
6/17/16,49.17
6/16/16,47.19
6/15/16,48.97
6/14/16,49.83
6/13/16,50.35
6/10/16,50.54
6/9/16,51.95
6/8/16,52.51
6/7/16,51.44
6/6/16,50.55
6/3/16,49.64
6/2/16,50.04
6/1/16,49.72
5/31/16,49.69
5/30/16,49.76
5/27/16,49.32
5/26/16,49.59
5/25/16,49.74
5/24/16,48.61
5/23/16,48.35
5/20/16,48.72
5/19/16,48.81
5/18/16,48.93
5/17/16,49.28
5/16/16,48.97
5/13/16,47.83
5/12/16,48.08
5/11/16,47.6
5/10/16,45.52
5/9/16,43.63
5/6/16,45.37
5/5/16,45.01
5/4/16,44.62
5/3/16,44.97
5/2/16,45.83
4/29/16,48.13
4/28/16,48.14
4/27/16,47.18
4/26/16,45.74
4/25/16,44.48
4/22/16,45.11
4/21/16,44.53
4/20/16,45.8
4/19/16,44.03
4/18/16,42.91
4/15/16,43.1
4/14/16,43.84
4/13/16,44.18
4/12/16,44.69
4/11/16,42.83
4/8/16,41.94
4/7/16,39.43
4/6/16,39.84
4/5/16,37.87
4/4/16,37.69
4/1/16,38.67
3/31/16,39.6
3/30/16,39.26
3/29/16,39.14
3/28/16,40.27
3/24/16,40.44
3/23/16,40.47
3/22/16,41.79
3/21/16,41.54
3/18/16,41.2
3/17/16,41.54
3/16/16,40.33
3/15/16,38.74
3/14/16,39.53
3/11/16,40.39
3/10/16,40.05
3/9/16,41.07
3/8/16,39.65
3/7/16,40.84
3/4/16,38.72
3/3/16,37.07
3/2/16,36.93
3/1/16,36.81
2/29/16,35.97
2/26/16,35.1
2/25/16,35.29
2/24/16,34.41
2/23/16,33.27
2/22/16,34.69
2/19/16,33.01
2/18/16,34.28
2/17/16,34.5
2/16/16,32.18
2/15/16,33.39
2/12/16,33.36
2/11/16,30.06
2/10/16,30.84
2/9/16,30.32
2/8/16,32.88
2/5/16,34.06
2/4/16,34.46
2/3/16,35.04
2/2/16,32.72
2/1/16,34.24
1/29/16,34.74
1/28/16,33.89
1/27/16,33.1
1/26/16,31.8
1/25/16,30.5
1/22/16,32.18
1/21/16,29.25
1/20/16,27.88
1/19/16,28.76
1/18/16,28.55
1/15/16,28.94
1/14/16,31.03
1/13/16,30.31
1/12/16,30.86
1/11/16,31.55
1/8/16,33.55
1/7/16,33.75
1/6/16,34.23
1/5/16,36.42
1/4/16,37.22
12/31/15,37.28
12/30/15,36.46
12/29/15,37.79
12/28/15,36.62
12/24/15,37.89
12/23/15,37.36
12/22/15,36.11
12/21/15,36.35
12/18/15,36.88
12/17/15,37.06
12/16/15,37.19
12/15/15,38.45
12/14/15,37.92
12/11/15,37.93
12/10/15,39.73
12/9/15,40.11
12/8/15,40.26
12/7/15,40.73
12/4/15,43
12/3/15,43.84
12/2/15,42.49
12/1/15,44.44
11/30/15,44.61
11/27/15,44.86
11/26/15,45.46
11/25/15,46.17
11/24/15,46.12
11/23/15,44.83
11/20/15,44.66
11/19/15,44.18
11/18/15,44.14
11/17/15,43.57
11/16/15,44.56
11/13/15,43.61
11/12/15,44.06
11/11/15,45.81
11/10/15,47.44
11/9/15,47.19
11/6/15,47.42
11/5/15,47.98
11/4/15,48.58
11/3/15,50.54
11/2/15,48.79
10/30/15,49.56
10/29/15,48.8
10/28/15,49.05
10/27/15,46.81
10/26/15,47.54
10/23/15,47.99
10/22/15,48.08
10/21/15,47.85
10/20/15,48.71
10/19/15,48.61
10/16/15,50.46
10/15/15,48.71
10/14/15,49.15
10/13/15,49.24
10/12/15,49.86
10/9/15,52.65
10/8/15,53.05
10/7/15,51.33
10/6/15,51.92
10/5/15,49.25
10/2/15,48.13
10/1/15,47.69
9/30/15,48.37
9/29/15,48.23
9/28/15,47.34
9/25/15,48.6
9/24/15,48.17
9/23/15,47.75
9/22/15,49.08
9/21/15,48.92
9/18/15,47.47
9/17/15,49.08
9/16/15,49.75
9/15/15,46.63
9/14/15,46.37
9/11/15,48.14
9/10/15,48.89
9/9/15,47.58
9/8/15,49.52
9/7/15,47.63
9/4/15,49.61
9/3/15,50.68
9/2/15,50.5
9/1/15,49.56
8/31/15,54.15
8/28/15,50.05
8/27/15,47.56
8/26/15,43.14
8/25/15,43.21
8/24/15,42.69
8/21/15,45.46
8/20/15,46.62
8/19/15,47.16
8/18/15,48.81
8/17/15,48.74
8/14/15,49.03
8/13/15,49.22
8/12/15,49.66
8/11/15,49.18
8/10/15,50.41
8/7/15,48.61
8/6/15,49.52
8/5/15,49.59
8/4/15,49.99
8/3/15,49.52
7/31/15,52.21
7/30/15,53.31
7/29/15,53.38
7/28/15,53.3
7/27/15,53.47
7/24/15,54.62
7/23/15,55.27
7/22/15,56.13
7/21/15,57.04
7/20/15,56.65
7/17/15,57.1
7/16/15,57.51
7/15/15,57.05
7/14/15,58.51
7/13/15,57.85
7/10/15,58.73
7/9/15,58.61
7/8/15,57.05
7/7/15,56.85
7/6/15,56.54
7/3/15,60.32
7/2/15,62.07
7/1/15,62.01
6/30/15,63.59
6/29/15,62.01
6/26/15,63.26
6/25/15,63.2
6/24/15,63.49
6/23/15,64.45
6/22/15,63.34
6/19/15,63.02
6/18/15,64.26
6/17/15,63.87
6/16/15,63.7
6/15/15,62.61
6/12/15,63.87
6/11/15,65.11
6/10/15,65.7
6/9/15,64.88
6/8/15,62.69
6/5/15,63.31
6/4/15,62.03
6/3/15,63.8
6/2/15,65.49
6/1/15,64.88
5/29/15,65.56
5/28/15,62.58
5/27/15,62.06
5/26/15,63.72
5/25/15,65.52
5/22/15,65.37
5/21/15,66.54
5/20/15,65.03
5/19/15,64.02
5/18/15,66.27
5/15/15,66.81
5/14/15,66.59
5/13/15,66.81
5/12/15,66.86
5/11/15,64.91
5/8/15,65.39
5/7/15,65.54
5/6/15,67.77
5/5/15,67.52
5/4/15,66.45
5/1/15,66.46
4/30/15,66.78
4/29/15,65.84
4/28/15,64.64
4/27/15,64.83
4/24/15,65.28
4/23/15,64.85
4/22/15,62.73
4/21/15,62.08
4/20/15,63.45
4/17/15,63.45
4/16/15,63.98
4/15/15,60.32
4/14/15,58.43
4/13/15,57.93
4/10/15,57.87
4/9/15,56.57
4/8/15,55.55
4/7/15,59.1
4/6/15,58.12
4/2/15,54.95
4/1/15,57.1
3/31/15,55.11
3/30/15,56.29
3/27/15,56.41
3/26/15,59.19
3/25/15,56.48
3/24/15,55.11
3/23/15,55.92
3/20/15,55.32
3/19/15,54.43
3/18/15,55.91
3/17/15,53.51
3/16/15,53.44
3/13/15,54.67
3/12/15,57.08
3/11/15,57.54
3/10/15,56.39
3/9/15,58.53
3/6/15,59.73
3/5/15,60.48
3/4/15,60.55
3/3/15,61.02
3/2/15,59.54
2/27/15,62.58
2/26/15,60.05
2/25/15,61.63
2/24/15,58.66
2/23/15,58.9
2/20/15,60.22
2/19/15,60.21
2/18/15,60.53
2/17/15,62.53
2/16/15,61.4
2/13/15,61.52
2/12/15,57.05
2/11/15,54.66
2/10/15,56.43
2/9/15,58.34
2/6/15,57.8
2/5/15,56.57
2/4/15,54.16
2/3/15,57.91
2/2/15,54.75
1/30/15,52.99
1/29/15,49.13
1/28/15,48.47
1/27/15,49.6
1/26/15,48.16
1/23/15,48.79
1/22/15,48.52
1/21/15,49.03
1/20/15,47.99
1/19/15,48.84
1/16/15,50.17
1/15/15,47.67
1/14/15,48.69
1/13/15,46.59
1/12/15,47.43
1/9/15,50.11
1/8/15,50.96
1/7/15,51.15
1/6/15,51.1
1/5/15,53.11
1/2/15,56.42
12/31/14,57.33
12/30/14,57.9
12/29/14,57.88
12/26/14,59.45
12/24/14,60.24
12/23/14,61.69
12/22/14,60.11
12/19/14,61.38
12/18/14,59.27
12/17/14,61.18
12/16/14,59.86
12/15/14,61.06
12/12/14,61.85
12/11/14,63.68
12/10/14,64.24
12/9/14,66.84
12/8/14,66.19
12/5/14,69.07
12/4/14,69.64
12/3/14,69.92
12/2/14,70.54
12/1/14,72.54
11/28/14,70.15
11/27/14,72.58
11/26/14,77.75
11/25/14,78.33
11/24/14,79.68
11/21/14,80.36
11/20/14,79.33
11/19/14,78.1
11/18/14,78.47
11/17/14,79.31
11/14/14,79.41
11/13/14,77.92
